constructor_id,constructor_ref,name,nationality,data_source,file_date,ingestion_date
171,cooper-castellotti,Cooper-Castellotti,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
172,lotus-climax,Lotus-Climax,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
173,lotus-maserati,Lotus-Maserati,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
174,de_tomaso-osca,De Tomaso-Osca,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
176,lotus-brm,Lotus-BRM,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
177,lotus-borgward,Lotus-Borgward,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
180,lotus-ford,Lotus-Ford,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
181,brabham-brm,Brabham-BRM,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
182,brabham-ford,Brabham-Ford,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
183,brabham-climax,Brabham-Climax,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
184,lds-climax,LDS-Climax,South African,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
186,cooper-ford,Cooper-Ford,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
187,mclaren-ford,McLaren-Ford,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
188,mclaren-seren,McLaren-Serenissima,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
189,eagle-climax,Eagle-Climax,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
190,eagle-weslake,Eagle-Weslake,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
191,brabham-repco,Brabham-Repco,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
192,cooper-ferrari,Cooper-Ferrari,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
193,cooper-ats,Cooper-ATS,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
194,mclaren-brm,McLaren-BRM,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
195,cooper-brm,Cooper-BRM,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
196,matra-ford,Matra-Ford,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
197,brm-ford,BRM-Ford,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
199,march-alfa_romeo,March-Alfa Romeo,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
200,march-ford,March-Ford,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
202,shadow-ford,Shadow-Ford,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
203,shadow-matra,Shadow-Matra,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
205,lotus_racing,Lotus,Malaysian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
206,marussia,Marussia,Russian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
207,caterham,Caterham,Malaysian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
208,lotus_f1,Lotus F1,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
209,manor,Manor Marussia,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
210,haas,Haas F1 Team,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
211,racing_point,Racing Point,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
213,alphatauri,AlphaTauri,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
214,alpine,Alpine F1 Team,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
